fecha,datatype,station,value,fl_m,fl_q,fl_so,fl_t,units
2016-06-28,PRCP,GHCND:AR000875850,61,,,S,,mm_tenths
2016-06-29,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-06-30,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2016-07-01,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2016-07-02,PRCP,GHCND:AR000875850,51,,,S,,mm_tenths
2016-07-03,PRCP,GHCND:AR000875850,399,,,S,,mm_tenths
2016-07-04,PRCP,GHCND:AR000875850,480,,,S,,mm_tenths
2016-07-05,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2016-07-06,PRCP,GHCND:AR000875850,51,,,S,,mm_tenths
2016-07-07,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-07-12,PRCP,GHCND:AR000875850,140,,,S,,mm_tenths
2016-07-13,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-07-15,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2016-07-16,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-07-26,PRCP,GHCND:AR000875850,290,,,S,,mm_tenths
2016-07-27,PRCP,GHCND:AR000875850,221,,,S,,mm_tenths
2016-07-28,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-07-31,PRCP,GHCND:AR000875850,8,,,S,,mm_tenths
2016-08-01,PRCP,GHCND:AR000875850,160,,,S,,mm_tenths
2016-08-02,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-08-06,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2016-08-07,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-08-09,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2016-08-10,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-08-27,PRCP,GHCND:AR000875850,61,,,S,,mm_tenths
2016-08-28,PRCP,GHCND:AR000875850,470,,,S,,mm_tenths
2016-08-29,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-09-05,PRCP,GHCND:AR000875850,119,,,S,,mm_tenths
2016-09-06,PRCP,GHCND:AR000875850,130,,,S,,mm_tenths
2016-09-07,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2016-09-08,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-09-09,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-09-12,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-09-13,PRCP,GHCND:AR000875850,269,,,S,,mm_tenths
2016-09-14,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-09-18,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-01,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-02,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-03,PRCP,GHCND:AR000875850,41,,,S,,mm_tenths
2016-10-04,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-05,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-06,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2016-10-07,PRCP,GHCND:AR000875850,79,,,S,,mm_tenths
2016-10-08,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
